Date,Open,High,Low,Close,Adj Close,Volume
1992-04-14,378.930206,378.930206,378.930206,378.930206,187.009460,0
1992-04-15,378.930206,378.930206,378.930206,378.930206,187.009460,0
1992-04-16,378.930206,378.930206,378.930206,378.930206,187.009460,0
1992-04-17,378.930206,378.930206,378.930206,378.930206,187.009460,0
1992-04-20,378.930206,378.930206,378.930206,378.930206,187.009460,0
1992-04-21,378.930206,378.930206,378.930206,378.930206,187.009460,0
1992-04-22,null,null,null,null,null,null
1992-04-23,310.161407,310.161407,310.161407,310.161407,153.070663,0
1992-04-24,310.161407,310.161407,310.161407,310.161407,153.070663,0
1992-04-27,310.161407,310.161407,310.161407,310.161407,153.070663,0
1992-04-28,null,null,null,null,null,null
1992-04-29,null,null,null,null,null,null
1992-04-30,null,null,null,null,null,null
1992-05-01,265.251160,265.251160,265.251160,265.251160,130.906601,0
1992-05-04,265.251160,265.251160,265.251160,265.251160,130.906601,0
1992-05-05,265.251160,265.251160,265.251160,265.251160,130.906601,0
1992-05-06,null,null,null,null,null,null
1992-05-07,null,null,null,null,null,null
1992-05-08,251.216705,251.216705,251.216705,251.216705,123.980339,0
1992-05-11,null,null,null,null,null,null
1992-05-12,null,null,null,null,null,null
1992-05-13,null,null,null,null,null,null
1992-05-14,null,null,null,null,null,null
1992-05-15,247.006363,247.006363,247.006363,247.006363,121.902458,0
1992-05-18,null,null,null,null,null,null
1992-05-19,null,null,null,null,null,null
1992-05-20,null,null,null,null,null,null
1992-05-21,275.075256,275.075256,275.075256,275.075256,135.755005,0
1992-05-22,null,null,null,null,null,null
1992-05-25,null,null,null,null,null,null
1992-05-26,null,null,null,null,null,null
1992-05-27,null,null,null,null,null,null
1992-05-28,null,null,null,null,null,null
1992-05-29,null,null,null,null,null,null
1992-06-01,null,null,null,null,null,null
1992-06-02,null,null,null,null,null,null
1992-06-03,null,null,null,null,null,null
1992-06-04,null,null,null,null,null,null
1992-06-05,null,null,null,null,null,null
1992-06-08,null,null,null,null,null,null
1992-06-09,null,null,null,null,null,null
1992-06-10,null,null,null,null,null,null
1992-06-11,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-12,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-15,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-16,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-17,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-18,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-19,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-22,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-23,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-24,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-25,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-26,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-29,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-06-30,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-01,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-02,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-03,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-06,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-07,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-08,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-09,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-10,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-13,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-14,222.446075,222.446075,222.446075,222.446075,109.781471,0
1992-07-15,null,null,null,null,null,null
1992-07-16,null,null,null,null,null,null
1992-07-17,null,null,null,null,null,null
1992-07-20,null,null,null,null,null,null
1992-07-21,null,null,null,null,null,null
1992-07-22,null,null,null,null,null,null
1992-07-23,null,null,null,null,null,null
1992-07-24,178.237549,178.237549,178.237549,178.237549,87.963715,0
1992-07-27,null,null,null,null,null,null
1992-07-28,null,null,null,null,null,null
1992-07-29,null,null,null,null,null,null
1992-07-30,null,null,null,null,null,null
